network,distribution,k,delta_i_optimum_approx,delta_i_random_approx
Karate,uniform,1,-0.037,-0.008
Karate,uniform,2,-0.072,-0.009
Karate,uniform,3,-0.095,-0.013
Karate,uniform,4,-0.115,-0.022
Karate,uniform,5,-0.135,-0.025
Karate,uniform,6,-0.145,-0.038
Karate,uniform,7,-0.16,-0.04
Karate,uniform,8,-0.175,-0.048
Dolphins,uniform,1,-0.05,-0.005
Dolphins,uniform,2,-0.093,-0.05
Dolphins,uniform,3,-0.117,-0.055
Dolphins,uniform,4,-0.133,-0.056
Dolphins,uniform,5,-0.147,-0.065
Dolphins,uniform,6,-0.157,-0.066
Dolphins,uniform,7,-0.163,-0.068
Dolphins,uniform,8,-0.168,-0.077
Netscience,uniform,1,-0.05,-0.021
Netscience,uniform,2,-0.09,-0.023
Netscience,uniform,3,-0.117,-0.032
Netscience,uniform,4,-0.135,-0.04
Netscience,uniform,5,-0.15,-0.04
Netscience,uniform,6,-0.16,-0.045
Netscience,uniform,7,-0.17,-0.047
Netscience,uniform,8,-0.178,-0.057
Diseasome,uniform,1,-0.085,-0.002
Diseasome,uniform,2,-0.155,-0.003
Diseasome,uniform,3,-0.235,-0.005
Diseasome,uniform,4,-0.30,-0.007
Diseasome,uniform,5,-0.355,-0.008
Diseasome,uniform,6,-0.40,-0.01
Diseasome,uniform,7,-0.43,-0.065
Diseasome,uniform,8,-0.45,-0.07
Karate,exponential,1,-0.013,
Karate,exponential,2,-0.025,
Karate,exponential,3,-0.033,
Karate,exponential,4,-0.039,
Karate,exponential,5,-0.043,
Karate,exponential,6,-0.047,
Karate,exponential,7,-0.049,
Karate,exponential,8,-0.051,
Dolphins,exponential,1,-0.02,
Dolphins,exponential,2,-0.041,
Dolphins,exponential,3,-0.049,
Dolphins,exponential,4,-0.056,
Dolphins,exponential,5,-0.061,
Dolphins,exponential,6,-0.067,
Dolphins,exponential,7,-0.072,
Dolphins,exponential,8,-0.077,
Netscience,exponential,1,-0.027,
Netscience,exponential,2,-0.038,
Netscience,exponential,3,-0.043,
Netscience,exponential,4,-0.047,
Netscience,exponential,5,-0.049,
Netscience,exponential,6,-0.051,
Netscience,exponential,7,-0.052,
Netscience,exponential,8,-0.054,
Diseasome,exponential,1,-0.019,
Diseasome,exponential,2,-0.030,
Diseasome,exponential,3,-0.037,
Diseasome,exponential,4,-0.043,
Diseasome,exponential,5,-0.046,
Diseasome,exponential,6,-0.047,
Diseasome,exponential,7,-0.048,
Diseasome,exponential,8,-0.049,
Karate,powerlaw,1,-0.028,
Karate,powerlaw,2,-0.043,
Karate,powerlaw,3,-0.054,
Karate,powerlaw,4,-0.062,
Karate,powerlaw,5,-0.069,
Karate,powerlaw,6,-0.075,
Karate,powerlaw,7,-0.079,
Karate,powerlaw,8,-0.082,
Dolphins,powerlaw,1,-0.008,
Dolphins,powerlaw,2,-0.025,
Dolphins,powerlaw,3,-0.027,
Dolphins,powerlaw,4,-0.028,
Dolphins,powerlaw,5,-0.029,
Dolphins,powerlaw,6,-0.030,
Dolphins,powerlaw,7,-0.030,
Dolphins,powerlaw,8,-0.031,
Netscience,powerlaw,1,-0.006,
Netscience,powerlaw,2,-0.007,
Netscience,powerlaw,3,-0.008,
Netscience,powerlaw,4,-0.0085,
Netscience,powerlaw,5,-0.009,
Netscience,powerlaw,6,-0.0095,
Netscience,powerlaw,7,-0.0097,
Netscience,powerlaw,8,-0.0098,
Diseasome,powerlaw,1,-0.010,
Diseasome,powerlaw,2,-0.016,
Diseasome,powerlaw,3,-0.020,
Diseasome,powerlaw,4,-0.023,
Diseasome,powerlaw,5,-0.026,
Diseasome,powerlaw,6,-0.028,
Diseasome,powerlaw,7,-0.030,
Diseasome,powerlaw,8,-0.031,
